W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time
win,Sergey Khandozhko  Dwight Grant,2  1,49  42,1  1,0  0,Welterweight,KO/TKO  Punches,2,4:15
win,Tyson Pedro  Ike Villanueva,1  0,22  4,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,4:55
win,Aoriqileng  Cameron Else,1  0,37  6,1  0,0  0,Bantamweight,KO/TKO  Punches,1,2:48
win,Preston Parsons  Evan Elder,0  0,75  27,4  0,5  0,Welterweight,U-DEC,3,5:00
win,Philipe Lins  Marcin Prachnio,0  0,64  74,4  0,0  0,Light Heavyweight,U-DEC,3,5:00
win,Mike Jackson  Dean Barry,0  1,18  36,0  0,0  0,Welterweight,DQ,1,3:52
win,Belal Muhammad  Vicente Luque,0  0,60  84,5  0,0  0,Welterweight,U-DEC,5,5:00
win,Caio Borralho  Gadzhi Omargadzhiev,0  0,31  12,1  1,0  0,Middleweight,U-DEC,3,3:56
win,Andre Fialho  Miguel Baeza,1  0,32  24,0  0,0  0,Welterweight,KO/TKO  Punches,1,4:39
win,Mayra Bueno Silva  Wu Yanan,0  0,87  62,0  1,2  0,Women's Bantamweight,U-DEC,3,5:00
win,Pat Sabatini  TJ Laramie,0  0,36  15,6  1,0  0,Featherweight,U-DEC,3,5:00
win,Mounir Lazzez  Ange Loosa,0  0,141  88,0  0,0  0,Welterweight,U-DEC,3,5:00
win,Devin Clark  William Knight,1  0,34  21,2  1,0  2,Heavyweight,KO/TKO  Punches,3,3:21
win,Pannie Kianzad  Lina Lansberg,0  1,78  39,1  0,0  0,Women's Bantamweight,U-DEC,3,5:00
win,Drakkar Klose  Brandon Jenkins,2  0,76  18,2  0,0  0,Lightweight,KO/TKO  Punches,2,0:33
win,Rafa Garcia  Jesse Ronson,0  0,35  25,3  0,1  0,Lightweight,SUB  Rear Naked Choke,2,4:50
win,Martin Buday  Chris Barnett,1  0,56  23,0  0,0  0,Heavyweight,U-DEC,3,1:38
win,Jordan Leavitt  Trey Ogden,0  0,69  41,0  1,0  2,Lightweight,S-DEC,3,5:00
win,Sam Hughes  Istela Nunes,0  0,76  89,2  0,0  0,Women's Strawweight,M-DEC,3,5:00
win,Alatengheili  Kevin Croom,1  0,9  2,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:47
win,Alexander Volkanovski  Chan Sung Jung,1  0,138  48,4  0,0  0,Featherweight,KO/TKO  Punches,4,0:45
win,Aljamain Sterling  Petr Yan,0  0,62  63,2  0,0  0,Bantamweight,S-DEC,5,5:00
win,Khamzat Chimaev  Gilbert Burns,1  0,108  119,2  0,0  0,Welterweight,U-DEC,3,5:00
win,Mackenzie Dern  Tecia Torres,0  0,50  76,0  0,3  0,Women's Strawweight,S-DEC,3,5:00
win,Mark Madsen  Vinc Pichel,0  0,39  68,3  1,0  0,Lightweight,U-DEC,3,5:00
win,Ian Garry  Darian Weeks,0  0,74  40,0  1,0  0,Welterweight,U-DEC,3,5:00
win,Anthony Hernandez  Josh Fremd,0  0,48  31,8  1,3  1,Middleweight,U-DEC,3,5:00
win,Raquel Pennington  Aspen Ladd,0  0,114  65,0  2,0  0,Women's Bantamweight,U-DEC,3,5:00
win,Mike Malott  Mickey Gall,1  0,28  13,0  1,0  0,Welterweight,KO/TKO  Punch,1,3:41
win,Aleksei Oleinik  Jared Vanderaa,0  0,8  15,0  0,1  0,Heavyweight,SUB  Scarf Hold,1,3:39
win,Piera Rodriguez  Kay Hansen,0  0,50  31,3  2,0  0,Women's Strawweight,U-DEC,3,5:00
win,Julio Arce  Daniel Santos,0  0,127  49,0  0,0  0,Bantamweight,U-DEC,3,5:00
win,Curtis Blaydes  Chris Daukaus,1  0,30  13,0  0,0  0,Heavyweight,KO/TKO  Punch,2,0:17
win,Alexa Grasso  Joanne Wood,0  0,16  34,2  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,1,3:57
win,Bryan Barberena  Matt Brown,0  0,111  81,0  5,0  0,Welterweight,S-DEC,3,5:00
win,Kai Kara-France  Askar Askarov,0  0,51  27,0  2,0  2,Flyweight,U-DEC,3,5:00
win,Neil Magny  Max Griffin,0  1,54  67,1  0,0  0,Welterweight,S-DEC,3,5:00
win,Marc Diakiese  Viacheslav Borshchev,0  0,17  12,11  0,0  0,Lightweight,U-DEC,3,5:00
win,Sara McMann  Karol Rosa,0  0,24  26,4  1,0  0,Women's Bantamweight,U-DEC,3,5:00
win,Chris Gutierrez  Batgerel Danaa,1  0,41  30,0  1,0  0,Bantamweight,KO/TKO  Spinning Back Fist,2,2:34
win,Aliaskhab Khizriev  Denis Tiuliulin,0  0,42  31,2  0,1  0,Middleweight,SUB  Rear Naked Choke,2,1:58
win,Manon Fiorot  Jennifer Maia,0  0,83  37,2  1,0  0,Women's Flyweight,U-DEC,3,5:00
win,Matheus Nicolau  David Dvorak,1  0,36  39,0  0,0  0,Flyweight,U-DEC,3,5:00
win,Luis Saldana  Bruno Souza,0  0,84  66,2  1,0  0,Featherweight,U-DEC,3,5:00
win,Tom Aspinall  Alexander Volkov,0  0,29  13,2  0,1  0,Heavyweight,SUB  Straight Armbar,1,3:45
win,Arnold Allen  Dan Hooker,0  0,49  14,0  0,0  0,Featherweight,KO/TKO  Punches,1,2:33
win,Paddy Pimblett  Kazula Vargas,0  0,3  7,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,3:49
win,Gunnar Nelson  Takashi Sato,0  0,44  9,3  0,1  0,Welterweight,U-DEC,3,5:00
win,Molly McCann  Luana Carolina,1  0,85  64,2  0,0  0,Women's Flyweight,KO/TKO  Spinning Back Elbow,3,1:52
win,Ilia Topuria  Jai Herbert,1  1,20  22,1  0,0  0,Lightweight,KO/TKO  Punch,2,1:07
win,Makwan Amirkhani  Mike Grundy,0  0,0  0,0  1,1  0,Featherweight,SUB  Anaconda Choke,1,0:57
win,Sergei Pavlovich  Shamil Abdurakhimov,1  0,21  17,0  0,0  0,Heavyweight,KO/TKO  Punches,1,4:03
win,Paul Craig  Nikita Krylov,0  0,2  19,1  1,1  0,Light Heavyweight,SUB  Triangle Choke,1,3:57
win,Jack Shore  Timur Valiev,2  0,70  72,3  2,0  1,Bantamweight,U-DEC,3,5:00
win,Elise Reed  Cory McKenna,0  0,76  60,0  3,0  0,Women's Strawweight,S-DEC,3,5:00
win,Muhammad Mokaev  Cody Durden,1  0,2  1,0  1,1  0,Flyweight,SUB  Guillotine Choke,1,0:58
